Item	Nrep-Rank	Visit-Rank
('5586',)	111	275
('3444',)	111	274
('944',)	99	161
('3035',)	107	222
('5134',)	106	248
('4717',)	106	226
('808',)	107	226
('4074',)	110	270
('4019',)	107	247
('5723',)	111	259
('4389',)	110	259
('2121',)	108	233
('1159',)	104	222
('2994',)	90	164
('394',)	102	205
('4486',)	111	259
('5345',)	104	224
('2539',)	96	160
('3886',)	111	258
('8914',)	89	133
('6323',)	110	256
('1314',)	105	245
('4528',)	111	275
('2088',)	103	217
('4231',)	98	199
('1597',)	98	179
('207',)	83	131
('8839',)	104	212
('4480',)	111	275
('4671',)	109	262
('2870',)	111	275
('1375',)	111	272
('3355',)	111	274
('1708',)	102	225
('2756',)	83	172
('3365',)	107	269
('1821',)	111	275
('4638',)	106	268
('5857',)	111	273
('5760',)	81	119
('5393',)	49	62
('7',)	111	275
('2249',)	82	169
('1602',)	106	271
('4032',)	105	257
('4714',)	101	215
('42',)	91	163
('681',)	95	207
('6424',)	100	209
('4529',)	102	247
('4244',)	105	247
('205',)	95	221
('3124',)	111	275
('2762',)	111	274
('943',)	91	158
('1988',)	95	182
('2823',)	69	102
('5899',)	86	146
('3125',)	104	243
('5363',)	70	117
('5160',)	109	245
('1157',)	107	267
('1661',)	111	256
('5784',)	98	210
('1957',)	111	275
('5135',)	86	155
('5945',)	111	274
('4400',)	90	187
('5844',)	111	274
('1549',)	110	235
('143',)	73	102
('1831',)	84	126
('2254',)	111	273
('5676',)	93	192
('4722',)	111	275
('283',)	103	245
('4830',)	99	216
('5491',)	111	274
('7604',)	111	275
('6036',)	109	259
('2821',)	103	232
('3880',)	103	256
('4444',)	96	153
('2275',)	100	188
('3646',)	111	270
('253',)	97	155
('4646',)	77	77
('6514',)	92	156
('3023',)	111	274
('3561',)	110	266
('4448',)	109	252
('3072',)	111	266
('3766',)	105	224
('5268',)	105	217
('2620',)	111	275
('4246',)	108	268
('5625',)	105	251
('3978',)	103	241
('2414',)	107	234
('4938',)	111	274
('4279',)	107	248
('1304',)	101	241
('4192',)	110	265
('5808',)	105	245
('5075',)	105	227
('21',)	105	253
('2490',)	107	257
('3775',)	102	239
('3233',)	111	274
('490',)	76	94
('6372',)	111	275
('1726',)	111	275
('324',)	111	275
('2155',)	111	274
('1916',)	108	268
('4844',)	103	238
('8164',)	111	274
('5025',)	111	271
('4538',)	108	257
('3175',)	111	273
('2559',)	109	258
('1823',)	110	259
('4492',)	111	273
('2145',)	105	225
('2483',)	111	261
('2531',)	111	261
('2654',)	109	248
('4423',)	111	274
('2905',)	108	268
('5865',)	110	231
('5952',)	111	275
('2753',)	110	270
('9487',)	110	266
('362',)	111	273
('2623',)	109	244
('4750',)	111	275
('1995',)	100	202
('1786',)	99	241
('1462',)	110	263
('4304',)	111	274
('1796',)	111	275
('5241',)	111	271
('2649',)	111	273
('3257',)	111	275
('3216',)	111	275
('3614',)	106	257
('187',)	111	274
('2239',)	103	264
('8657',)	111	259
('4940',)	110	270
('1678',)	111	273
('5157',)	102	227
('2334',)	111	254
('3772',)	111	274
('4239',)	111	266
('2508',)	111	268
('8300',)	111	275
('5055',)	111	274
('3801',)	111	259
('3191',)	107	248
('3489',)	111	263
('5485',)	110	269
('502',)	106	237
('3077',)	79	96
('20',)	106	238
('3147',)	111	275
('1927',)	111	274
('4281',)	111	273
('1447',)	111	274
('3679',)	111	270
('3376',)	111	274
('8539',)	111	272
('2552',)	111	275
('3380',)	111	221
('4960',)	109	269
('1803',)	111	275
('2415',)	111	275
('8500',)	111	275
('8113',)	111	274
('2536',)	111	275
('8115',)	111	273
('5403',)	110	243
('7895',)	105	208
('9730',)	111	275
('4866',)	110	270
('4790',)	111	275
('963',)	97	214
('9895',)	111	275
('3560',)	108	251
('3988',)	111	268
('7872',)	111	270
('8220',)	111	273
('8144',)	111	275
('1254',)	97	176
('7704',)	111	274
('7702',)	111	274
('790',)	100	223
('5116',)	111	275
('4088',)	104	261
('1441',)	99	204
('5956',)	99	200
('1857',)	110	258
('3943',)	106	234
('4576',)	111	269
('2833',)	85	148
('5923',)	102	221
('3130',)	86	160
('1053',)	110	267
('393',)	111	255
('193',)	107	250
('5325',)	108	256
('5767',)	95	178
('5334',)	111	268
('2394',)	103	249
('2920',)	111	275
('238',)	108	248
('3327',)	110	267
('4421',)	111	272
('2884',)	107	265
('3955',)	110	267
('7540',)	111	275
('4366',)	111	269
('5930',)	111	275
('3921',)	111	275
('322',)	111	275
('4449',)	111	274
('909',)	110	267
('3341',)	110	259
('7975',)	111	259
('2281',)	111	275
('4079',)	110	266
('3011',)	111	262
('174',)	109	258
('4815',)	109	265
('6233',)	109	266
('4683',)	111	275
('5489',)	111	274
('4443',)	111	274
('8154',)	111	275
('5072',)	104	252
('5129',)	111	275
('1720',)	103	253
('9855',)	111	274
('2107',)	111	275
('1546',)	110	252
('4704',)	111	275
('3350',)	105	254
('4665',)	111	272
('2260',)	111	275
('3074',)	111	275
('3113',)	111	259
('2230',)	111	272
('7866',)	111	271
('2617',)	109	258
('5803',)	111	260
('5794',)	111	275
('2849',)	111	272
('2159',)	109	266
('3066',)	97	186
('3824',)	103	207
('3624',)	99	180
('1816',)	106	229
('2489',)	108	254
('303',)	107	264
('2309',)	111	273
('3049',)	111	261
('4374',)	111	275
('7601',)	111	275
('2763',)	111	275
('4828',)	111	273
('5705',)	111	275
('1501',)	110	268
('7701',)	111	275
('2516',)	104	246
('8435',)	99	175
('2207',)	107	230
('1238',)	109	258
('2711',)	111	266
('3882',)	108	267
('1607',)	110	264
('8302',)	111	275
('3203',)	111	275
('2653',)	111	272
('5950',)	111	273
('5775',)	111	273
('6187',)	111	274
('1612',)	106	253
('2692',)	109	259
('3179',)	105	219
('2639',)	111	275
('704',)	109	270
('5853',)	111	275
('1348',)	107	242
('4523',)	110	256
('2206',)	111	275
('5506',)	111	273
('6360',)	111	275
('2868',)	111	275
('9870',)	111	275
('4731',)	106	266
('2012',)	111	275
('3729',)	111	274
('4028',)	111	273
('2708',)	111	275
('1897',)	111	275
('392',)	111	275
('4596',)	111	275
('5608',)	109	245
('3324',)	111	251
('4391',)	111	275
('3289',)	111	275
('1068',)	111	273
('5645',)	111	264
('4996',)	109	267
('3542',)	111	275
('5406',)	111	275
('6407',)	111	275
('3649',)	103	243
('8495',)	111	275
('3963',)	111	275
('4114',)	110	271
('3083',)	111	275
('4920',)	111	273
('1832',)	111	274
('4234',)	111	269
('5016',)	111	259
('4096',)	111	272
('4069',)	111	275
('2278',)	105	257
('4826',)	107	261
('4660',)	111	274
('674',)	110	270
('1392',)	107	238
('1257',)	111	275
('1408',)	111	275
('4065',)	111	274
('4824',)	111	275
('4991',)	111	275
('5561',)	111	274
('4005',)	111	275
('1826',)	111	275
('3865',)	111	274
('1815',)	111	274
('987',)	110	270
('70',)	111	241
('363',)	111	274
('8232',)	110	259
('2558',)	110	266
('5445',)	111	275
('5112',)	111	275
('5478',)	111	268
('5639',)	111	275
('3464',)	111	273
('1425',)	111	275
('3218',)	107	228
('1142',)	101	211
('1535',)	109	259
('6260',)	111	275
('8807',)	111	265
('8663',)	111	266
('2764',)	111	275
('3433',)	111	275
('93',)	109	257
('5167',)	111	275
('3296',)	111	275
('1591',)	111	275
('3326',)	106	244
('287',)	111	275
('1536',)	111	271
('5041',)	108	250
('3522',)	111	275
('6214',)	111	274
('4167',)	111	275
('8075',)	111	275
('4661',)	111	258
('4353',)	111	268
('1389',)	111	275
('4136',)	111	275
('6495',)	111	275
('1949',)	110	271
('2957',)	111	275
('3547',)	111	274
('5141',)	111	272
('3512',)	110	270
('3730',)	111	272
('424',)	111	275
('947',)	111	275
('1529',)	111	275
('3378',)	111	274
('1012',)	111	275
('7632',)	111	275
('3757',)	111	275
('3262',)	111	268
('2417',)	109	233
('4950',)	111	275
('1293',)	110	270
('5584',)	111	271
('677',)	111	275
('2754',)	111	275
('4155',)	111	275
('5635',)	111	275
('7595',)	111	275
('4322',)	111	272
('2532',)	111	275
